id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
157125	dt	dt  	d~t	d	det. / rel. functor + encl. -t	the one(s) of	
157126	ẓrh	ẓr[h]	ẓr(I)/+h	ẓr (I)	n. m. sg. cstr. gen. + 3 f. sg. suff.	back	
# KTU 1.4 II:21							
157127	tšu	tšu  	!t!(nš(ʔ[&u	/n-š-ʔ/	vb G prefc. 3 f. sg.	to raise	'she raises her voice and cries'.
157128	gh	gh  	g/+h	g	n. m. sg. cstr. acc. + 3 f. sg. suff.	(loud) voice	
157129	w	w 	w	w	conj.	and	
157130	tṣḥ	tṣḥ  	!t!ṣḥ[	/ṣ-ḥ/	vb G prefc. 3 f. sg.	to exclaim	
157131	ik	ik	ik	ỉk	interr. functor	how?	
# KTU 1.4 II:22							
157132	mġy	mġy  	mġy[	/m-ġ-y/	vb G suffc. 3 m. sg.	to come, arrive	'how has Mightiest Baal arrived?'
157133	aliyn	aliyn  	aliyn/	ảlỉyn	adj. m. sg. abs. nom.	The Very / Most Powerful	
157134	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. nom.	Baʿlu/Baal	
# KTU 1.4 II:23							
157135	ik	ik  	ik	ỉk	interr. functor	how?	
157136	mġyt	mġyt  	mġy[t	/m-ġ-y/	vb G suffc. 3 f. sg.	to come	Subject Virgin Anat; 3 f. sg., not 1 c. sg.
157137	btlt	b[t]lt	btl(t/t	btlt	n. f. sg. cstr. nom.	virgin	
# KTU 1.4 II:24							
157138	ˤnt	ʿnt  	ˤn(t(I)/t	ʕnt (I)	DN f. sg. abs. nom.	ʿAnatu/Anat	
157139	mḫṣy	mḫṣy  	mḫṣ[/+y	/m-ḫ-ṣ/	vb G act. ptcpl. m. pl. cstr. nom. + 1 c. sg. suff.	to wound, beat, crush, kill	'(are they) my smiters?' (Athirat fears).
157140	hm	hm[  ]  	hm(I)	hm (I)	pers. pn. 3 m. pl.	1) they	
157141	mḫṣ	[m]ḫṣ	mḫṣ[/	/m-ḫ-ṣ/	vb G act. ptcpl. m. pl. cstr. nom.	to wound, beat, crush, kill	mḫṣ bny 'the smiters of my sons'.
# KTU 1.4 II:25							
157142	bny	bny  	bn(I)/+y	bn (I)	n. m. pl. cstr. gen. + 1 c. sg. suff.	4) special uses b) pl. cstr./suff. bn “sons of” > family	
157143	hm	hm [ ]  	hm(II)	hm (II)	conj./interr. functor	if	
157144	mkly	[mkly  ]  	mkly[/	/k-l-y/	vb D act. ptcpl. m. pl. cstr. nom.	to finish (off), destroy, drain	mkly ṣbrt 'the destroyers of the band'.
157145	ṣbrt	[ṣ]brt	ṣbr(t/t	ṣbrt	n. f. sg. cstr. gen.	clan	EUPT genders m.
# KTU 1.4 II:26							
157146	aryy	aryy [ ]  	ary(I)/+y	ảry (I)	n. m. pl. cstr. gen. + 1 c. sg. suff.	fellow	ṣbrt aryy 'the band of my kin'.
157147	ẓl	[ẓl]    	ẓl(I)/	ẓl (I)	n. m. sg. cstr. acc.	2) reflection	ẓl ksp 'the gleam of silver' (anticipating the gifts she spies).
157148	ksp	ksp  	ksp/	ksp	n. m. sg. abs. gen.	1) silver a) 4.738	
157149	aṯrt	[a]ṯrt	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. nom.	Asherah	DULAT lists ảṯrt (I) 'nape' for the form; here the DN.
# KTU 1.4 II:27							
157150	k	k 	k(III)	k (III)	subordinating / completive functor	when	
157151	tˤn	tʿn  	!t!ˤn[	/ʕ-n/	vb G prefc. 3 f. sg.	to see, look (at), watch, spy	'when she sees the gleam of silver'.
157152	ẓl	ẓl  	ẓl(I)/	ẓl (I)	n. m. sg. cstr. acc.	shade	
157153	ksp	ksp  	ksp/	ksp	n. m. sg. abs. gen.	silver	
157154	w	w 	w	w	conj.	and	
157155	nr	nr	nr/	nr	n. m. sg. cstr. acc.	1) sheen	nr ḫrṣ 'the glitter of gold'.
# KTU 1.4 II:28							
157156	ḫrṣ	ḫrṣ  	ḫrṣ/	ḫrṣ	n. m. sg. abs. gen.	1) gold a) in general	
157157	šmḫ	šmḫ  	šmḫ[	/š-m-ḫ/	vb G suffc. 3 f. sg.	to be glad	'Lady Athirat of the Sea rejoices'.
157157	šmḫ	šmḫ  	!!šmḫ[/	/š-m-ḫ/	vb G inf.	to be glad, rejoice	EUPT: G-Inf. (narrative infinitive).
157158	rbt	rbt  	rb(t(I)/t	rbt (I)	n. f. sg. cstr. nom.	Lady	
157159	aṯrt	aṯ[rt]	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	
# KTU 1.4 II:29							
157160	ym	ym  	ym(II)/	ym (II)	n. m. sg. abs. gen.	sea	
157161	gm	gm  	g/~m	g	n. m. sg. + encl. -m	(loud) voice	gm l ġlmh 'aloud to her lad'.
157162	l	l 	l(I)	l (I)	prep.	to	
157163	ġlmh	ġlmh  	ġlm/+h	ġlm	n. m. sg. cstr. gen. + 3 f. sg. suff.	1) boy	
157164	k	k 	k(II)	k (II)	emph. functor	yes	Split k + tṣḥ written together: 'does she cry'. | Migrated from legacy reviewed tokenization.
157165	tṣḥ	[tṣḥ]	!t!ṣḥ[	/ṣ-ḥ/	vb G prefc. 3 f. sg.	to exclaim, shout	Split k + tṣḥ written together: 'does she cry'. | Migrated from legacy reviewed tokenization.
# KTU 1.4 II:30							
157166	ˤn	ʿn  	!!ˤn[	/ʕ-n/	vb G impv. m. sg.	to see, look (at), watch, spy	'Look, O skilled fisherman!'
157167	mkṯr	mkṯr  	mkṯr/	mkṯr	n. m. sg. cstr. nom.	expert	Vocative: 'O expert of the source of the sea' (DULAT II:30).
157168	apq	apq[ ] 	apq/	ảpq	n. m. sg. cstr. gen.	spring	DULAT (II:30): mkṯr apq[ym] 'expert of the source of the sea'. | Migrated from legacy reviewed tokenization.
157169	ym	[ym]	ym(II)/	ym (II)	n. m. sg. abs. gen.	sea	DULAT (II:30): mkṯr apq[ym] 'expert of the source of the sea'. | Migrated from legacy reviewed tokenization.
# KTU 1.4 II:31							
157170	dgy	dgy  	dgy/	dgy	n. m. sg. cstr. nom.	triton	dgy rbt aṯrt ym 'O fisherman of Lady Athirat of the Sea'.; EUPT/construct: bound to the following genitive.
157171	rbt	rbt  	rb(t(I)/t	rbt (I)	n. f. sg. cstr. gen.	Lady	
157172	aṯrt	aṯr[t  ]  	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. cstr. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	
157173	ym	[ym]	ym(II)/	ym (II)	n. m. sg. abs. gen.	sea	
# KTU 1.4 II:32							
157174	qḥ	qḥ  	!!(lqḥ[	/l-q-ḥ/	vb G impv. m. sg.	to get hold of, take, grasp	'take a net in your hand'.
157175	rṯt	rṯt  	rṯ(t/t	rṯt	n. f. sg. abs. acc.	net	EUPT genders m.
157176	bdk	bdk  	bd(IV)+k	bd (IV)	prep. + 2 m. sg. suff.	1) into the hands of	bd (IV) 'into the hands of'.
157177	t	t[         ]           	?	?	?	?	Isolated/broken sign.
# KTU 1.4 II:33							
157178	rbt	rbt  	rb(t(II)/t	rbt (II)	n. f. sg. abs. acc.	seine	DULAT rbt (II) 'seine'.
157179	ˤl	ʿl  	ˤl(I)	ʕl (I)	prep.	1) spatial location or pre-eminence b) in	
157180	ydm	ydm[               ]               	yd(I)/m	yd (I)	n. f. du. abs. gen.	hand	ˤl ydm 'upon (your) hands'.
# KTU 1.4 II:34							
157181	b	b 	b	b	prep.	in	
157182	mdd	mdd  	mdd(I)/	mdd (I)	n. m. sg. cstr. gen.	beloved	mdd il ym 'the Beloved of El, Yammu'.
157183	il	il  	il(I)/	ỉl (I)	DN m. sg. cstr. gen.	ʾIlu/Ilu/El	
157184	ym	y[m            ]            	ym(II)/	ym (II)	DN m. sg. abs. gen.	day	mdd il ym 'the Beloved of El, Yammu' (// 1.3 III:38).
# KTU 1.4 II:35							
157185	b	b 	b	b	prep.	in	
157186	ym	ym  	ym(I)/	ym (I)	n. m. sg. cstr. gen.	day	Broken context (b ym il dn).
157187	il	il  	il(I)/	ỉl (I)	DN m. sg. cstr. gen.	ʾIlu/Ilu/El	
157188	d	d[               ]               	d	d	det. or rel. functor	the one(s) of	Migrated from legacy reviewed tokenization.
157189	n	[n]	~n	-n (I)	encl. morph.		DULAT: NOT FOUND | Migrated from legacy reviewed tokenization.
157189	n	[n]		-n (IV)	vb	him/her/it	DULAT: NOT FOUND | Migrated from legacy reviewed tokenization.
# KTU 1.4 II:36							
157190	hr	hr  	hr(I)/	hr (I)	n. m. sg. cstr. gen.	mountain	
157191	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
157192	y	y[                     ]                     	y	y	voc. functor	oh!	
# KTU 1.4 II:37							
157193	aliyn	aliyn  	aliyn/	ảlỉyn	adj. m. sg. abs. nom.	The Very / Most Powerful	
157194	bˤl	[bʿl                   ]                   	bˤl(II)/	bʕl (II)	DN m. sg. abs. nom.	Baʿlu/Baal	
# KTU 1.4 II:38							
157195	btlt	btlt  	btl(t/t	btlt	n. f. sg. cstr. nom.	virgin	
157196	ˤnt	[ʿnt                      ]                      	ˤn(t(I)/t	ʕnt (I)	DN f. sg. abs. nom.	ʿAnatu/Anat	
# KTU 1.4 II:39							
157197	mh	mh  	m&h	m(h)	interr. / indef. pn.	2) anything	
157198	kx	kx[                       ]                       	?	?	?	?	
# KTU 1.4 II:40							
157199	w	w 	w	w	conj.	and	
157200	at	at[                            ]                            	at(I)	ảt (I)	pers. pn. 2 m. sg.	you	
# KTU 1.4 II:41							
157201	aṯrt	aṯr[t                             ]                             	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. nom.	Asherah	Broken context; DULAT form aṯrt (I) 'nape' also possible.
# KTU 1.4 II:42							
157202	b	b 	b	b	prep.	in	
157203	im	im[                            ]                            	im	ỉm	conj.	if	
# KTU 1.4 II:43							
157204	bl	bl  	bl(I)	bl (I)	adv. / emph. functor	no	
157205	lx	lx[                          ]                          	?	?	?	?	
# KTU 1.4 II:44							
157206	mlk	mlk[                             ]                             	mlk(I)/	mlk (I)	n. m. sg. abs. nom.	king	
# KTU 1.4 II:45							
157207	dt	dt [                              ]                              	d~t	d	det. / rel. functor + encl. -t	the one(s) of	
# KTU 1.4 II:46							
157208	b	b 	b	b	prep.	in	
157209	ṭ	ṭ[                               ]                               	?	?	?	?	
# KTU 1.4 II:47							
157210	gt	gt [                              ]                              	g(t/t	gt	n. f. sg. abs.	gittu	
# KTU 1.4 II:48							
157211	yx	yx[                               ]                               	?	?	?	?	
# KTU 1.4 III:1							
157212	xh	[           ]xh	?	?	?	?	
# KTU 1.4 III:2							
157213	tdn	[           ]tdn	!t!dn[	/d-n/	vb G prefc. 3 m. sg.	to judge	
# KTU 1.4 III:3							
157214		[             ]             	?	?	?	?	Migrated from legacy reviewed tokenization.
157215	mdd	[m]dd	mdd(I)/	mdd (I)	n. m. sg. abs.	beloved	
# KTU 1.4 III:4							
157216	xn	[           ]xn    	?	?	?	?	
157217	kb	kb	kb(I)/	kb (I)	adj. m. abs.	sewn, scalloped, stuffed	
# KTU 1.4 III:5							
157218	x	[         ]x    	?	?	?	?	
157219	al	al  	al(I)	ảl (I)	neg. functor	no	
157220	yns	yns	!y!ns[	/n-s/	vb G prefc. 3 m. sg.	to flee	
# KTU 1.4 III:6							
157221	x	[        ]x    	?	?	?	?	
157222	ysdk	ysdk 	ysd/+k	ysd	n. m. sg. cstr. + 2 m. sg. suff.	?	DULAT cites ysd (entry '?') here.
# KTU 1.4 III:7							
157223	xxxxx	[xxxxx  ]  	?	?	?	?	
157224	w	w  	w	w	conj.	and	
157225	dr	dr  	dr/	dr	n. m. sg. cstr.	circle	
157226	dr	dr	dr/	dr	n. m. sg. abs. gen.	circle	w dr dr 'the (eternal) assembly'.
# KTU 1.4 III:8							
157227	xxxx	[xxxx  ]  	?	?	?	?	
157228		 	?	?	?	?	
157229	ḥyk	ḥyk  	ḥy(m&/+k	ḥym	n. m. pl. tant. cstr. + 2 m. sg. suff.	life	'your life'.
157230	w	w 	w	w	conj.	and	
157231	rḥ	rḥ  	rḥ(I)/	rḥ (I)	n. f. sg. abs.	2) gust	
157232	d	d	d	d	det. or rel. functor	the one(s) of	
# KTU 1.4 III:9							
157233	xxxxy	[xxx]xy    	?	?	?	?	
157234	ilm	ilm  	il(I)/m	ỉl (I)	n. m. pl. abs. nom.	god	
157234	ilm	ilm  	il(I)/~m	ỉl (I)	n. m. sg. abs. nom + encl. -m	god	bn ilm mt: il + encl. -m (sg. 'El/god'); EUPT reads sg. il + EP -m.
157235	d	d 	d	d	det. or rel. functor	4) in compound conjunctions	
157236	mlk	mlk	mlk(I)/	mlk (I)	n. m. sg. abs. nom.	king	
157236	mlk	mlk	mlk[	/m-l-k/	vb G suffc. 3 m. sg.	to reign, rule	DULAT cites /m-l-k/ + d here: 'the one who reigns'.
# KTU 1.4 III:10							
157237	yṯb	y[ṯ]b    	!y!ṯb[	/ṯ-b/	vb G prefc. 3 m. sg.	to return, turn round, go back, make one’s way, go through	DULAT files yṯb here s.v. /ṯ-b/; 'Mightiest Baal makes reply'.
157238	aliyn	aliyn  	aliyn/	ảlỉyn	adj. m. sg. abs. nom.	The Very / Most Powerful	
157239	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. nom.	Baʿlu/Baal	
# KTU 1.4 III:11							
157240	ytˤdd	ytʿdd  	!y!]t]ˤdd[	/ʕ-d(-d)/	vb tD prefc. 3 m. sg.	to declare, communicate	DULAT /ʕ-d(-d)/ tD; 'the Rider of Clouds takes his stand'.
157241	rkb	rkb  	rkb(I)/	rkb (I)	n. m. sg. cstr. nom.	Charioteer	rkb ˤrpt 'Rider of the Clouds' (epithet of Baal).
157242	ˤrpt	ʿrpt	ˤrp(t/t=	ʕrpt	n. f. pl. tant. abs. gen.	cloud(s)	
# KTU 1.4 III:12							
157243	qm	qm  	qm[/	/q-m/	vb G act. ptcpl. m. sg. abs. nom.	to stand up	'a foe rises and reviles him'.
157244	ydd	ydd  	!y!(ndd[	/n-d-d/	vb G prefc. 3 m. sg.	to go, move	DULAT (III:12): ydd w yqlṣn 'he prepared to resist me'.
157244	ydd	ydd  	ydd(I)/	ydd (I)	adj. m. sg. abs. nom.	beloved	ydd = the Beloved-of-El (Mot), Baal's foe.
157245	w	w 	w	w	conj.	and	
157246	yqlṣn	yqlṣn	!y!qlṣ[~n	/q-l-ṣ/	vb G prefc. 3 m. sg. + energic -n	to resist, stand up to, oppose	
157246	yqlṣn	yqlṣn	!y!qlṣ[~n:d	/q-l-ṣ/	vb D prefc. 3 m. sg. + energic -n	to resist, stand up to, oppose	EUPT: D-stem (unwritten gemination; both viable).
# KTU 1.4 III:13							
157247	yqm	yqm  	!y!qm[	/q-m/	vb G prefc. 3 m. sg.	to stand up	
157248	w	w 	w	w	conj.	3) in the correlation protasis-apodosis	
157249	ywpṯn	ywpṯn  	!y!wpṯ[~n	/w-p-ṯ/	vb G prefc. 3 m. sg. + energic -n	to spit	'rises and spits at him'.
157249	ywpṯn	ywpṯn  	!y!wpṯ[~n:d	/w-p-ṯ/	vb D prefc. 3 m. sg. + energic -n	to spit	EUPT: D-stem (unwritten gemination; both viable).
157250	b	b 	b	b	prep.	in	
157251	tk	tk	tk/	tk	n. m. sg. cstr. gen.	1) in	
157251	tk	tk	tk	tk	prep.	in the midst of	DULAT: tk n. 'centre', also used as prep. (EUPT: Präp.).
# KTU 1.4 III:14							
157252	pḫr	pḫr  	pḫr(I)/	pḫr (I)	n. m. sg. cstr. gen.	1) assembly a) Assembly	b tk pḫr bn ilm 'in the midst of the assembly of the gods'.
157253	bn	bn  	bn(I)/	bn (I)	n. m. pl. cstr. gen.	son	
157254	ilm	ilm  	il(I)/m	ỉl (I)	n. m. pl. abs. gen.	god	
157254	ilm	ilm  	il(I)/~m	ỉl (I)	n. m. sg. abs. gen + encl. -m	god	bn ilm mt: il + encl. -m (sg. 'El/god'); EUPT reads sg. il + EP -m.
157255	štt	štt	št[t===:pass	/š-t/	vb Gpass suffc. 3 f. sg.	to place, set, set up, leave	DULAT: 'an unclean offering was placed on my table' (subject pglt).
157255	štt	štt	št[t===	/š-t/	vb G suffc. 3 f. sg.	to place, set, set up, leave	EUPT: G active, 'she set/placed'.
# KTU 1.4 III:15							
157256	pglt	p[gl]t    	pgl(t/t	pglt	n. f. sg. abs. nom.	unclean offering	
157257	b	b 	b	b	prep.	in	
157258	ṯlḥny	ṯlḥny  	ṯlḥn/+y	ṯlḥn	n. m. sg. cstr. gen. + 1 c. sg. suff.	table	'at my table'.
157259	qlt	qlt	ql(t(I)/t	qlt (I)	n. f. sg. abs. nom.	vileness	DULAT cites qlt (I) here: 'there was placed vileness in the cup I drink'.
# KTU 1.4 III:16							
157260	b	b 	b	b	prep.	in	
157261	ks	ks  	ks(I)/	ks (I)	n. m. sg. abs. gen.	cup	
157262	ištynh	ištynh	!(ʔ&i!šty[~n+h	/š-t-y/	vb G prefc. 1 c. sg. + energic-n + suff.	to drink	'in a cup I drank it'.
# KTU 1.4 III:17							
157263	dm	dm  	dm(I)	dm (I)	functor	since	
157264	ṯn	ṯn  	ṯn(I)/	ṯn (I)	num. cstr. acc.	1) the numeral two b) ge	ṯn dbḥm šna bˤl 'two sacrifices Baal hates'.
157265	dbḥm	dbḥm  	dbḥ/m	dbḥ	n. m. du. abs. acc.	1) sacrifice	
157266	šna	šna  	šn(ʔ&a[	/š-n-ʔ/	vb G suffc. 3 m. sg.	to hate, loathe	DULAT form šnả G suffc.
157267	bˤl	bʿl  	bˤl(II)/	bʕl (II)	DN m. sg. abs. nom.	Baʿlu/Baal	
157268	ṯlṯ	ṯlṯ	ṯlṯ(I)/	ṯlṯ (I)	num. cstr. acc.	1) the numeral three a) elliptical syntagms	'three the Rider of Clouds (hates)'.
# KTU 1.4 III:18							
157269	rkb	rkb  	rkb(I)/	rkb (I)	n. m. sg. cstr. nom.	Charioteer	
157270	ˤrpt	ʿrpt  	ˤrp(t/t=	ʕrpt	n. f. pl. tant. abs. gen.	cloud(s)	
157271	dbḥ	dbḥ	dbḥ/	dbḥ	n. m. sg. cstr. acc.	1) sacrifice	dbḥ bṯt 'a sacrifice of shame'.
# KTU 1.4 III:19							
157272	bṯt	bṯt  	bṯ(t(I)/t	bṯt (I)	n. f. sg. abs. gen.	shame	
157273	w	w 	w	w	conj.	and	
157274	dbḥ	dbḥ { }  	dbḥ/	dbḥ	n. m. sg. abs. acc.	sacrifice	
157275	w	{w } 	w	w	conj.	and	
157276	dbḥ	{dbḥ}	dbḥ/	dbḥ	n. m. sg. cstr. acc.	sacrifice	
# KTU 1.4 III:20							
157277	dnt	dnt  	dn(t(I)/t	dnt (I)	n. f. sg. abs. gen.	lechery, fornication	Baal's hated feasts (III:17-21).
157278	w	w 	w	w	conj.	and	
157279	dbḥ	dbḥ  	dbḥ/	dbḥ	n. m. sg. cstr. acc.	sacrifice	
157280	tdmm	tdmm	tdmm/	tdmm	n. m. sg. cstr. gen.	lascivious	dbḥ tdmm amht 'a sacrifice of the debauchery of handmaids'.
# KTU 1.4 III:21							
157281	amht	amht  	am&h(t/t=	ảmt (I)	n. f. pl. abs. gen.	1) female slave	'the lewdness of handmaids'.
157282	k	k 	k(III)	k (III)	subordinating / completive functor	when, if, because, since, as, that	'for therein is shame'.
157283	bh	bh  	b+h	b	prep. + 3 m. sg. suff.	in	'in it'.
157284	bṯt	bṯt  	bṯ(t(I)/t	bṯt (I)	n. f. sg. abs. nom.	shame	
157285	l	l 	l(III)	l (III)	functor	certainly	
157286	tbṭ	tbṭ	!t!(nbṭ[	/n-b-ṭ/	vb G prefc. 3 f. sg.	to appear, arise, be obvious	'shame indeed appears'.
# KTU 1.4 III:22							
157287	w	w 	w	w	conj.	and	
157288	bh	bh  	b+h	b	prep. + 3 m. sg. suff.	in	
157289	tdmmt	tdmmt  	tdmm(t/t	tdmmt	n. f. sg. abs. nom.	lasciviousness	
157290	amht	amht	am&h(t/t=	ảmt (I)	n. f. pl. abs. nom.	(female) slave	'and in it the lewdness of handmaids'.
# KTU 1.4 III:23							
157291	aḫr	aḫr  	aḫr	ảḫr	adv./conj.	3) after	'after Mightiest Baal arrives'.
157292	mġy	mġy  	mġy[	/m-ġ-y/	vb G suffc. 3 m. sg.	to come, arrive	
157293	aliyn	aliyn  	aliyn/	ảlỉyn	adj. m. sg. abs. nom.	The Very / Most Powerful	
157294	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. nom.	Baʿlu/Baal	
# KTU 1.4 III:24							
157295	mġyt	mġyt  	mġy[t	/m-ġ-y/	vb G suffc. 3 f. sg.	to come	Subject Virgin Anat; 3 f. sg.
157296	btlt	btlt  	btl(t/t	btlt	n. f. sg. cstr. nom.	virgin	
157297	ˤnt	ʿnt	ˤn(t(I)/t	ʕnt (I)	DN f. sg. abs. nom.	ʿAnatu/Anat	
# KTU 1.4 III:25							
157298	tmgnn	tmgnn  	!t!mgn[:d~n	/m-g-n/	vb D prefc. 3 m. du. + energic -n	to wine and dine, regale, welcome	Baal and Anat regale Athirat; DULAT cites tmgnn here.
157299	rbt	rbt  	rb(t(I)/t	rbt (I)	n. f. sg. cstr. acc.	Lady	
157300	aṯrt	aṯrt 	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	
157301	ym	ym	ym(II)/	ym (II)	n. m. sg. abs. gen.	sea	
# KTU 1.4 III:26							
157302	tġẓyn	tġẓyn  	!t!ġẓy[:d~n	/ġ-ẓ-y/	vb D prefc. 3 m. du. + energic -n	1) to win over	
157303	qnyt	qnyt 	qny[/t	/q-n-y/	vb G act. ptcpl. f. sg. cstr. acc.	to acquire	qnyt ilm 'Creatress of the gods'.
157304	ilm	ilm	il(I)/m	ỉl (I)	n. m. pl. abs. gen.	god	
# KTU 1.4 III:27							
157305	w	w 	w	w	conj.	and	
157306	tˤn	tʿn  	!t!ˤn(y[	/ʕ-n-y/ (I)	vb G prefc. 3 f. sg.	to answer	Athirat answers; 3 f. sg.
157307	rbt	rbt  	rb(t(I)/t	rbt (I)	n. f. sg. cstr. nom.	Lady	
157308	aṯrt	aṯrt 	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	
157309	ym	ym	ym(II)/	ym (II)	n. m. sg. abs. gen.	sea	
# KTU 1.4 III:28							
157310	ik	ik  	ik	ỉk	interr. functor	how?	
157311	tmgnn	tmgnn  	!t=!mgn[:d~n	/m-g-n/	vb D prefc. 2 m. du. + energic -n	to wine and dine, regale, welcome	Athirat: 'how is it that you two regale...?'; 2 m. du.
157312	rbt	rbt	rb(t(I)/t	rbt (I)	n. f. sg. cstr. acc.	Lady	
# KTU 1.4 III:29							
157313	aṯrt	aṯrt  	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	
157314	ym	ym  	ym(II)/	ym (II)	n. m. sg. abs. gen.	sea	
157315	tġẓyn	tġẓyn	!t=!ġẓy[:d~n	/ġ-ẓ-y/	vb D prefc. 2 m. du. + energic -n	to win over	
# KTU 1.4 III:30							
157316	qnyt	qnyt  	qny[/t	/q-n-y/	vb G act. ptcpl. f. sg. cstr. acc.	to acquire	
157317	ilm	ilm  	il(I)/m	ỉl (I)	n. m. pl. abs. gen.	god	
157318	mgntm	mgntm	mgn[tm:d	/m-g-n/	vb D suffc. 2 m. du.	to wine and dine, regale, welcome	'have you (two) regaled Bull El...?'
# KTU 1.4 III:31							
157319	ṯr	ṯr  	ṯr(I)/	ṯr (I)	n. m. sg. cstr. acc.	bull	
157320	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. acc.	ʾIlu/Ilu/El	
157321	d	d 	d	d	det. or rel. functor	the one(s) of	
157322	pid	pid  	pid/	pỉd	n. m. sg. abs. gen.	heart	d pid 'the Benevolent'.
157323	hm	hm  	hm(II)	hm (II)	interr. functor	2) perhaps …? (interr. functor) b) in compound question	
157324	ġẓtm	ġẓtm	ġẓ(y[tm	/ġ-ẓ-y/	vb G suffc. 2 m. du.	to win over	'or have you beseeched the Creator of Creatures?'
157324	ġẓtm	ġẓtm	ġẓ(y[tm:d	/ġ-ẓ-y/	vb D suffc. 2 m. du.	to win over	EUPT: D-stem (unwritten gemination; both viable).
# KTU 1.4 III:32							
157325	bny	bny  	bny/	bny	n. m. sg. cstr. acc.	architect	bny bnwt 'Creator of Creatures'.
157326	bnwt	bnwt 	bn&w(t(II)/t=	bnt (II)	n. f. pl. abs. gen.	produce	
157327	w	w 	w	w	conj.	and	
157328	tˤn	tʿn	!t!ˤn(y[	/ʕ-n-y/ (I)	vb G prefc. 3 f. sg.	to answer	Virgin Anat answers; 3 f. sg.
# KTU 1.4 III:33							
157329	btlt	btlt  	btl(t/t	btlt	n. f. sg. cstr. nom.	virgin	
157330	ˤnt	ʿnt  	ˤn(t(I)/t	ʕnt (I)	DN f. sg. abs. nom.	ʿAnatu/Anat	
157331	nmgn	nmgn	!n!mgn[:d	/m-g-n/	vb D prefc. 1 c. pl.	to wine and dine, regale, welcome	'we shall (first) regale...'; 1 c. pl.
# KTU 1.4 III:34							
157332	km	km  	km	km	prep.	like	Broken sense; km.
157333	rbt	rbt  	rb(t(I)/t	rbt (I)	n. f. sg. cstr. gen.	Lady	
157334	aṯrt	aṯrt  	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	
157335	ym	ym	ym(II)/	ym (II)	n. m. sg. abs. gen.	sea	
# KTU 1.4 III:35							
157336	nġẓ	[n]ġẓ    	!n!ġẓ(y[	/ġ-ẓ-y/	vb G prefc. 1 c. pl.	to win over	'we shall beseech the Creatress of the gods'.
157337	qnyt	qnyt  	qny[/t	/q-n-y/	vb G act. ptcpl. f. sg. cstr. acc.	to acquire	
157338	ilm	ilm	il(I)/m	ỉl (I)	n. m. pl. abs. gen.	god	
# KTU 1.4 III:36							
157339	aḫr	[aḫ]r    	aḫr	ảḫr	adv./conj.	afterwards	
157340	nmgn	nmgn  	!n!mgn[:d	/m-g-n/	vb D prefc. 1 c. pl.	to wine and dine	'afterwards we shall regale him'.
157341	hwt	hwt	hw&t	hw	pers. pn.	1) he	Oblique hwt 'him' (// 1.1 III:3): 'we shall regale him'.
# KTU 1.4 III:37							
157342	xxx	[xxx]    	?	?	?	?	
157343	aliyn	aliyn  	aliyn/	ảlỉyn	adj. m. sg. abs. nom.	The Very / Most Powerful	
157344	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. nom.	Baʿlu/Baal	
# KTU 1.4 III:38							
157345	xxxrbt	[xxx ]rbt    	?	?	?	?	
157346	aṯrt	aṯrt  	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. cstr. nom.	ʾAṯiratu/Athirat/Asherah/El’s wife	
157347	ym	ym	ym(II)/	ym (II)	n. m. sg. abs. gen.	sea	
# KTU 1.4 III:39							
157348	xxxbtlt	[xxx ]btlt    	?	?	?	?	
157349	ˤnt	ʿnt	ˤn(t(I)/t	ʕnt (I)	DN f. sg. abs. nom.	ʿAnatu/Anat	
# KTU 1.4 III:40							
157350	xxx	[xxx  ]  	?	?	?	?	'they eat' (feast formula). | Migrated from legacy reviewed tokenization.
157351	tlḥm	[tl]ḥm    	!t!lḥm[:w	/l-ḥ-m/ (I)	vb G prefc. 3 m. pl.	to eat	'they eat' (feast formula). | Migrated from legacy reviewed tokenization.
